date,home,away,hscore,ascore
2021/05/12,横浜DeNA,読　売,5,5
2021/05/12,阪　神,中　日,,
2021/05/12,北海道日本ハム,オリックス,2,1
2021/05/12,東北楽天,埼玉西武,4,3
2021/05/12,福岡ソフトバンク,千葉ロッテ,8,8
2021/05/13,東京ヤクルト,広島東洋,,
2021/05/13,横浜DeNA,読　売,,
2021/05/13,阪　神,中　日,2,1
2021/05/14,読　売,阪　神,1,2
2021/05/14,中　日,東京ヤクルト,1,4
2021/05/14,広島東洋,横浜DeNA,9,2
2021/05/14,北海道日本ハム,福岡ソフトバンク,2,5
2021/05/14,千葉ロッテ,埼玉西武,4,4
2021/05/14,オリックス,東北楽天,9,4
2021/05/15,読　売,阪　神,5,3
2021/05/15,中　日,東京ヤクルト,0,5
2021/05/15,広島東洋,横浜DeNA,,
2021/05/15,北海道日本ハム,福岡ソフトバンク,3,7
2021/05/15,千葉ロッテ,埼玉西武,0,3
2021/05/15,オリックス,東北楽天,4,3
2021/05/16,読　売,阪　神,5,6
2021/05/16,中　日,東京ヤクルト,2,2
2021/05/16,広島東洋,横浜DeNA,3,3
2021/05/16,北海道日本ハム,福岡ソフトバンク,2,2
2021/05/16,千葉ロッテ,埼玉西武,6,6
2021/05/16,オリックス,東北楽天,0,1
2021/05/18,読　売,広島東洋,7,2
2021/05/18,横浜DeNA,中　日,1,5
2021/05/18,阪　神,東京ヤクルト,3,14
2021/05/18,東北楽天,北海道日本ハム,3,2
2021/05/18,埼玉西武,福岡ソフトバンク,2,8
2021/05/18,オリックス,千葉ロッテ,6,5
2021/05/19,読　売,広島東洋,2,10
2021/05/19,横浜DeNA,中　日,,
2021/05/19,阪　神,東京ヤクルト,3,1
2021/05/19,東北楽天,北海道日本ハム,3,2
2021/05/19,埼玉西武,福岡ソフトバンク,5,6
2021/05/19,オリックス,千葉ロッテ,4,6
2021/05/20,横浜DeNA,中　日,,
2021/05/20,阪　神,東京ヤクルト,,
2021/05/20,東北楽天,北海道日本ハム,1,4
2021/05/20,埼玉西武,福岡ソフトバンク,7,2
2021/05/21,東京ヤクルト,横浜DeNA,3,5
2021/05/21,中　日,読　売,1,1
2021/05/21,広島東洋,阪　神,,
2021/05/21,埼玉西武,北海道日本ハム,7,1
2021/05/21,千葉ロッテ,東北楽天,6,13
2021/05/22,東京ヤクルト,横浜DeNA,1,0
2021/05/22,中　日,読　売,4,5
2021/05/22,埼玉西武,北海道日本ハム,8,1
2021/05/22,千葉ロッテ,東北楽天,3,1
2021/05/22,福岡ソフトバンク,オリックス,7,2
2021/05/23,東京ヤクルト,横浜DeNA,10,5
2021/05/23,中　日,読　売,4,1
2021/05/23,埼玉西武,北海道日本ハム,3,10
2021/05/23,千葉ロッテ,東北楽天,5,6
2021/05/23,福岡ソフトバンク,オリックス,7,2
2021/05/25,読　売,東北楽天,9,4
2021/05/25,東京ヤクルト,北海道日本ハム,2,4
2021/05/25,横浜DeNA,オリックス,10,3
2021/05/25,中　日,福岡ソフトバンク,2,0
2021/05/25,阪　神,千葉ロッテ,3,5
2021/05/25,広島東洋,埼玉西武,,
2021/05/26,読　売,東北楽天,5,2
2021/05/26,東京ヤクルト,北海道日本ハム,4,3
2021/05/26,横浜DeNA,オリックス,5,14
2021/05/26,中　日,福岡ソフトバンク,4,3
2021/05/26,阪　神,千葉ロッテ,3,2
2021/05/27,読　売,東北楽天,0,2
2021/05/27,東京ヤクルト,北海道日本ハム,5,2
2021/05/27,横浜DeNA,オリックス,11,8
2021/05/27,中　日,福岡ソフトバンク,3,3
2021/05/27,阪　神,千葉ロッテ,4,6
2021/05/27,広島東洋,埼玉西武,4,4
2021/05/28,北海道日本ハム,中　日,10,1
2021/05/28,東北楽天,横浜DeNA,6,7
2021/05/28,埼玉西武,阪　神,7,10
2021/05/28,千葉ロッテ,広島東洋,8,10
2021/05/28,オリックス,東京ヤクルト,9,2
2021/05/28,福岡ソフトバンク,読　売,9,3
2021/05/29,北海道日本ハム,中　日,4,7
2021/05/29,東北楽天,横浜DeNA,1,1
2021/05/29,埼玉西武,阪　神,1,0
2021/05/29,千葉ロッテ,広島東洋,7,3
2021/05/29,オリックス,東京ヤクルト,4,7
2021/05/29,福岡ソフトバンク,読　売,8,3
2021/05/30,北海道日本ハム,中　日,1,4
2021/05/30,東北楽天,横浜DeNA,5,1
2021/05/30,埼玉西武,阪　神,8,9
2021/05/30,千葉ロッテ,広島東洋,7,1
2021/05/30,オリックス,東京ヤクルト,8,7
2021/05/30,福岡ソフトバンク,読　売,3,4
2021/06/01,読　売,埼玉西武,4,4
2021/06/01,東京ヤクルト,東北楽天,7,4
2021/06/01,横浜DeNA,福岡ソフトバンク,4,3
2021/06/01,中　日,千葉ロッテ,1,0
2021/06/01,阪　神,オリックス,2,5
2021/06/01,広島東洋,北海道日本ハム,3,7
2021/06/02,読　売,埼玉西武,4,3
2021/06/02,東京ヤクルト,東北楽天,1,3
2021/06/02,横浜DeNA,福岡ソフトバンク,1,1
2021/06/02,中　日,千葉ロッテ,2,2
2021/06/02,阪　神,オリックス,2,1
2021/06/02,広島東洋,北海道日本ハム,3,0
2021/06/03,読　売,埼玉西武,4,4
2021/06/03,東京ヤクルト,東北楽天,2,4
2021/06/03,横浜DeNA,福岡ソフトバンク,4,3
2021/06/03,中　日,千葉ロッテ,4,3
2021/06/03,阪　神,オリックス,3,7
2021/06/03,広島東洋,北海道日本ハム,,
2021/06/04,読　売,北海道日本ハム,6,0
2021/06/04,東京ヤクルト,埼玉西武,10,1
2021/06/04,横浜DeNA,千葉ロッテ,7,11
2021/06/04,中　日,オリックス,1,2
2021/06/04,阪　神,福岡ソフトバンク,6,1
2021/06/04,広島東洋,東北楽天,5,12
2021/06/05,読　売,北海道日本ハム,4,6
2021/06/05,東京ヤクルト,埼玉西武,3,6
2021/06/05,横浜DeNA,千葉ロッテ,11,9
2021/06/05,中　日,オリックス,6,3
2021/06/05,阪　神,福岡ソフトバンク,2,10
2021/06/05,広島東洋,東北楽天,3,7
2021/06/06,読　売,北海道日本ハム,2,4
2021/06/06,東京ヤクルト,埼玉西武,9,6
2021/06/06,横浜DeNA,千葉ロッテ,4,3
2021/06/06,中　日,オリックス,0,4
2021/06/06,阪　神,福岡ソフトバンク,3,8
2021/06/06,広島東洋,東北楽天,4,6
2021/06/08,北海道日本ハム,阪　神,2,3
2021/06/08,東北楽天,中　日,5,2
2021/06/08,埼玉西武,横浜DeNA,8,3
2021/06/08,千葉ロッテ,東京ヤクルト,7,4
2021/06/08,オリックス,読　売,3,3
2021/06/08,福岡ソフトバンク,広島東洋,1,1
2021/06/09,北海道日本ハム,阪　神,3,10
2021/06/09,東北楽天,中　日,3,7
2021/06/09,埼玉西武,横浜DeNA,8,8
2021/06/09,千葉ロッテ,東京ヤクルト,3,5
2021/06/09,オリックス,読　売,3,1
2021/06/09,福岡ソフトバンク,広島東洋,8,4
2021/06/10,北海道日本ハム,阪　神,2,4
2021/06/10,東北楽天,中　日,6,2
2021/06/10,埼玉西武,横浜DeNA,5,3
2021/06/10,千葉ロッテ,東京ヤクルト,2,1
2021/06/10,オリックス,読　売,6,0
2021/06/10,福岡ソフトバンク,広島東洋,1,1
2021/06/11,北海道日本ハム,横浜DeNA,0,4
2021/06/11,東北楽天,阪　神,2,3
2021/06/11,埼玉西武,中　日,5,6
2021/06/11,千葉ロッテ,読　売,1,5
2021/06/11,オリックス,広島東洋,4,0
2021/06/11,福岡ソフトバンク,東京ヤクルト,0,1
2021/06/12,北海道日本ハム,横浜DeNA,4,3
2021/06/12,東北楽天,阪　神,1,9
2021/06/12,埼玉西武,中　日,7,3
2021/06/12,千葉ロッテ,読　売,4,11
2021/06/12,オリックス,広島東洋,3,2
2021/06/12,福岡ソフトバンク,東京ヤクルト,2,4
2021/06/13,北海道日本ハム,横浜DeNA,1,4
2021/06/13,東北楽天,阪　神,5,6
2021/06/13,埼玉西武,中　日,4,3
2021/06/13,千葉ロッテ,読　売,5,4
2021/06/13,オリックス,広島東洋,9,8
2021/06/13,福岡ソフトバンク,東京ヤクルト,4,6
2021/06/14,広島東洋,埼玉西武,2,3
2021/06/15,広島東洋,埼玉西武,5,3
2021/06/16,広島東洋,北海道日本ハム,1,8
2021/06/18,東京ヤクルト,中　日,5,2
2021/06/18,横浜DeNA,広島東洋,4,7
2021/06/18,阪　神,読　売,7,1
2021/06/18,東北楽天,オリックス,2,5
2021/06/18,埼玉西武,千葉ロッテ,0,5
2021/06/18,福岡ソフトバンク,北海道日本ハム,1,2
2021/06/19,東京ヤクルト,中　日,3,7
2021/06/19,横浜DeNA,広島東洋,11,12
2021/06/19,阪　神,読　売,2,6
2021/06/19,東北楽天,オリックス,,
2021/06/19,埼玉西武,千葉ロッテ,7,2
2021/06/19,福岡ソフトバンク,北海道日本ハム,5,5
2021/06/20,東京ヤクルト,中　日,2,1
2021/06/20,横浜DeNA,広島東洋,10,8
2021/06/20,阪　神,読　売,1,2
2021/06/20,東北楽天,オリックス,0,3
2021/06/20,埼玉西武,千葉ロッテ,3,3
2021/06/20,福岡ソフトバンク,北海道日本ハム,1,1
2021/06/21,東北楽天,オリックス,3,4
2021/06/22,読　売,横浜DeNA,6,1
2021/06/22,中　日,阪　神,1,2
2021/06/22,広島東洋,東京ヤクルト,1,6
2021/06/22,埼玉西武,東北楽天,2,0
2021/06/22,千葉ロッテ,福岡ソフトバンク,4,6
2021/06/22,オリックス,北海道日本ハム,5,2
2021/06/23,読　売,横浜DeNA,4,2
2021/06/23,中　日,阪　神,6,2
2021/06/23,広島東洋,東京ヤクルト,5,8
2021/06/23,埼玉西武,東北楽天,4,6
2021/06/23,千葉ロッテ,福岡ソフトバンク,1,1
2021/06/23,オリックス,北海道日本ハム,3,1
2021/06/24,中　日,阪　神,0,6
2021/06/24,広島東洋,東京ヤクルト,1,4
2021/06/24,千葉ロッテ,福岡ソフトバンク,2,7
2021/06/24,オリックス,北海道日本ハム,2,5
2021/06/25,東京ヤクルト,読　売,1,7
2021/06/25,阪　神,横浜DeNA,0,3
2021/06/25,広島東洋,中　日,3,6
2021/06/25,東北楽天,福岡ソフトバンク,5,1
2021/06/25,オリックス,埼玉西武,1,3
2021/06/26,東京ヤクルト,読　売,3,10
2021/06/26,阪　神,横浜DeNA,1,3
2021/06/26,広島東洋,中　日,11,5
2021/06/26,北海道日本ハム,千葉ロッテ,1,3
2021/06/26,東北楽天,福岡ソフトバンク,3,2
2021/06/26,オリックス,埼玉西武,3,3
2021/06/27,東京ヤクルト,読　売,2,5
2021/06/27,阪　神,横浜DeNA,3,8
2021/06/27,広島東洋,中　日,1,1
2021/06/27,北海道日本ハム,千葉ロッテ,3,8
2021/06/27,東北楽天,福岡ソフトバンク,3,2
2021/06/27,オリックス,埼玉西武,10,0
2021/06/28,福岡ソフトバンク,埼玉西武,2,5
2021/06/29,読　売,広島東洋,11,8
2021/06/29,横浜DeNA,中　日,3,2
2021/06/29,阪　神,東京ヤクルト,5,3
2021/06/29,東北楽天,北海道日本ハム,5,5
2021/06/29,オリックス,千葉ロッテ,5,5
2021/06/30,読　売,広島東洋,0,1
2021/06/30,横浜DeNA,中　日,9,4
2021/06/30,阪　神,東京ヤクルト,2,2
2021/06/30,東北楽天,北海道日本ハム,0,3
2021/06/30,オリックス,千葉ロッテ,5,0
2021/06/30,福岡ソフトバンク,埼玉西武,9,1
2021/07/01,読　売,広島東洋,10,4
2021/07/01,阪　神,東京ヤクルト,1,6
2021/07/01,東北楽天,北海道日本ハム,1,2
2021/07/01,福岡ソフトバンク,埼玉西武,0,1
2021/07/02,横浜DeNA,読　売,,
2021/07/02,中　日,東京ヤクルト,3,9
2021/07/02,広島東洋,阪　神,7,1
2021/07/02,埼玉西武,オリックス,3,5
2021/07/02,千葉ロッテ,東北楽天,,
2021/07/03,横浜DeNA,読　売,1,3
2021/07/03,中　日,東京ヤクルト,1,5
2021/07/03,広島東洋,阪　神,0,5
2021/07/03,北海道日本ハム,福岡ソフトバンク,1,7
2021/07/03,埼玉西武,オリックス,0,8
2021/07/03,千葉ロッテ,東北楽天,5,3
2021/07/04,横浜DeNA,読　売,3,2
2021/07/04,中　日,東京ヤクルト,3,3
2021/07/04,広島東洋,阪　神,4,3
2021/07/04,北海道日本ハム,福岡ソフトバンク,0,5
2021/07/04,埼玉西武,オリックス,2,3
2021/07/04,千葉ロッテ,東北楽天,8,6
2021/07/05,千葉ロッテ,東北楽天,8,1
2021/07/06,読　売,中　日,2,3
2021/07/06,東京ヤクルト,阪　神,1,5
2021/07/06,広島東洋,横浜DeNA,2,4
2021/07/06,北海道日本ハム,埼玉西武,4,3
2021/07/06,千葉ロッテ,福岡ソフトバンク,11,3
2021/07/06,オリックス,東北楽天,2,7
2021/07/07,読　売,中　日,3,1
2021/07/07,東京ヤクルト,阪　神,6,4
2021/07/07,広島東洋,横浜DeNA,3,3
2021/07/07,北海道日本ハム,埼玉西武,2,1
2021/07/07,千葉ロッテ,福岡ソフトバンク,4,1
2021/07/07,オリックス,東北楽天,5,6
2021/07/08,読　売,中　日,0,1
2021/07/08,東京ヤクルト,阪　神,5,6
2021/07/08,広島東洋,横浜DeNA,5,3
2021/07/08,オリックス,東北楽天,1,1
2021/07/09,東京ヤクルト,広島東洋,4,3
2021/07/09,中　日,横浜DeNA,3,1
2021/07/09,阪　神,読　売,4,1
2021/07/09,千葉ロッテ,北海道日本ハム,1,6
2021/07/09,福岡ソフトバンク,オリックス,0,8
2021/07/10,東京ヤクルト,広島東洋,0,5
2021/07/10,中　日,横浜DeNA,6,2
2021/07/10,阪　神,読　売,1,8
2021/07/10,東北楽天,埼玉西武,2,6
2021/07/10,千葉ロッテ,北海道日本ハム,4,4
2021/07/10,福岡ソフトバンク,オリックス,3,1
2021/07/11,東京ヤクルト,広島東洋,,
2021/07/11,中　日,横浜DeNA,5,5
2021/07/11,阪　神,読　売,0,1
2021/07/11,東北楽天,埼玉西武,9,3
2021/07/11,千葉ロッテ,北海道日本ハム,,
2021/07/11,福岡ソフトバンク,オリックス,7,4
2021/07/12,阪　神,横浜DeNA,4,3
2021/07/12,広島東洋,中　日,6,2
2021/07/12,福岡ソフトバンク,東北楽天,8,0
